ticker,isin,shortname,fullname,industry,supersector,sector,subsector,listing_status,listing_date,trading_status,equity_type,equity_class,marketdata_currency,financial_currency,last_update,alsi_member,top40_member,irregular_flag
EXO,ZAE000050183,EXXOTEQ,Exxoteq Ltd,Oil & Gas,Oil & Gas,Oil & Gas Producers,Exploration & Production,DELISTED,,,,,,,2007-06-11,,,
EXL,ZAE000026092,EXCELL,Excellerate Holdings Ltd,Industrials,Industrial Goods & Services,Support Services,Business Support Services,DELISTED,,,,,,,2012-10-08,,,
CPBO,,,Corpcapital Bank Con Opt,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-10-19,,,
BGR,0,,Bergers Group Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-02-02,,,
EXX,,EXXARO,Exxaro Resources Ltd,Basic Materials,Basic Resources,Mining,Coal,CURRENT,,,,,,,2015-06-01,,,
VNF,ZAE000026498,VENFIN,Venfin Ltd,Financials,Financial Services,General Financial,Speciality Finance,DELISTED,,,,,,,2006-04-13,,,
VNT,ZAE000007779,VENTRON,Ventron Corp Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-09-15,,,
MAQP1,,,Macquariesa El Pref Exx1,Unclassified,Unclassified,Unclassified,Unclassified,CURRENT,,,,,,,2015-06-01,,,
GPL,,GRANPRADE,Grand Parade Inv Ltd,Financials,Financial Services,General Financial,Speciality Finance,CURRENT,,,,,,,2015-06-01,,,
DLP1,,,Dorbyl Ltd 5.5% Pref,Consumer Goods,Food & Beverages,Beverages,Brewers,DELISTED,,,,,,,2014-06-30,,,
THK,ZAE000017596,THUKANI,Thuthukani Group Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-10-02,,,
THA,,THARISA,Tharisa Plc,Basic Materials,,Mining,,CURRENT,,,,,,,2015-06-01,,,
NIN,ZAE000004917,NINIAN,Ninian And Lester Hldgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-02-24,,,
KIR,ZAE000011284,KAIROS,Kairos Industrial Hldgs,Industrials,Industrial Goods & Services,Industrial Engeneering,Industry Machinery,DELISTED,,,,,,,2012-02-10,,,
RTOP,,,Rex Trueform Ltd 6%Pref,Unclassified,Unclassified,Unclassified,Unclassified,CURRENT,,,,,,,2015-06-01,,,
KIO,,KUMBA,Kumba Iron Ore Ltd,Basic Materials,Basic Resources,Industrial Metals,Steel,CURRENT,,,,,,,2015-06-01,,,
HJC,,,H&J Supreme Cables & Elt,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-01-26,,,
NIV,,NIVEUS,Niveus Investments Ltd,Financials,Investment Insrtuments,Equity Investment Instruments,Equity Investment Instruments,CURRENT,,,,,,,2015-06-01,,,
CRS,ZAE000013736,CARSON,Carson Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-10-27,,,
FDC,0,FOODCRP,Foodcorp Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-04-28,,,
CRW,ZAE000001806,CORWIL,Corwil Investments Ltd,Financials,Investment Insrtuments,Equity Investment Instruments,Equity Investment Instruments,DELISTED,,,,,,,2014-07-28,,,
CRT,0,,Cortech Electronics Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1991-02-15,,,
FDF,,,Federated Property Trust,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1990-12-28,,,
CRX,ZAE000015855,CRUX,Crux Technologies Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-01-10,,,
FDP,,FREEDOM,Freedom Prop Fund Ltd,Financials,,Real Estate Investment & Services,,CURRENT,,,,,,,2015-06-01,,,
